sep=;
From#;From Name;To# - Circ#;To Name;Area;Owner;Resistance (pu);Reactance (pu);Line Charg. (pu);Normal Rat.(MVA);Overl. Rat.(MVA);Emerg. Rat.(MVA);ShtF On;GSht From (MW);BSht From (Mvar);ShtT On;GSht To (MW);BSht To (Mvar);Brk From;Brk To;Monitored;R0 (pu);X0 (pu);Type;Name
27;CPAUL2-SP500;87    # 01;RESEND-RJ500;202;0;0.00051;0.00782;0.66500;1855.0;2337.0;2337.0;1/ 1;0.0;-136.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00153;0.02346;TL;CPAUL2-SP500 - RESEND-R 
27;CPAUL2-SP500;1503    # 01;ITAJU3-MG500;202;0;0.00052;0.00792;0.66500;1855.0;2337.0;2337.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00156;0.02376;TL;CPAUL2-SP500 - ITAJU3-M 
27;CPAUL2-SP500;3010    # 01;ESTREI-MG500;202;0;0.00189;0.03158;7.09660;2442.0;3464.0;3464.0;1/ 1;0.0;-240.0;1/ 1;0.0;-240.0;Closed;Closed;YES;0.00567;0.09474;TL;CPAUL2-SP500 - ESTREI-M 
27;CPAUL2-SP500;3010    # 02;ESTREI-MG500;202;0;0.00189;0.03158;7.09660;2442.0;3464.0;3464.0;1/ 1;0.0;-240.0;1/ 1;0.0;-240.0;Closed;Closed;YES;0.00567;0.09474;TL;CPAUL2-SP500 - ESTREI-M 
27;CPAUL2-SP500;3383    # 01;LORENA-SP500;202;0;0.00014;0.00205;0.30353;2728.0;2728.0;2728.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00042;0.00615;TL;CPAUL2-SP500 - LORENA-S 
52;P.ACU--RJ345;147    # 01;CAMPOS-RJ345;252;0;0.00160;0.01646;0.27714;1275.0;1492.0;1492.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00480;0.04938;TL;P.ACU--RJ345 - CAMPOS-R 
52;P.ACU--RJ345;147    # 02;CAMPOS-RJ345;252;0;0.00160;0.01646;0.27714;1275.0;1492.0;1492.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00480;0.04938;TL;P.ACU--RJ345 - CAMPOS-R 
60;F.IGUA-PR765;62    # 01;IV-FZ1CAP765;201;0;0.00076;0.01850;9.27800;3684.0;4173.0;3684.0;1/ 1;0.0;-330.0;1/ 1;0.0;-150.0;Closed;Closed;YES;0.00228;0.05550;TL;F.IGUA-PR765 - IV-FZ1CA 
60;F.IGUA-PR765;63    # 02;IV-FZ2CAP765;201;0;0.00076;0.01850;9.29100;3684.0;4173.0;3684.0;1/ 1;0.0;-330.0;1/ 1;0.0;-150.0;Closed;Closed;YES;0.00228;0.05550;TL;F.IGUA-PR765 - IV-FZ2CA 
60;F.IGUA-PR765;64    # 03;IV-FZ3CAP765;201;0;0.00082;0.01899;9.54570;3684.0;4173.0;3684.0;1/ 1;0.0;-330.0;1/ 1;0.0;-150.0;Closed;Closed;YES;0.00246;0.05697;TL;F.IGUA-PR765 - IV-FZ3CA 
61;FOZ60--PR500;43421    # 01;GU-FZ1-PR500;101;0;0.00116;0.01999;2.45800;2910.0;3624.0;3624.0;0/ 0;0.0;0.0;1/ 1;0.0;-100.0;Closed;Closed;YES;0.00348;0.05997;TL;FOZ60--PR500 - GU-FZ1-P 
61;FOZ60--PR500;43422    # 02;GU-FZ2-PR500;101;0;0.00116;0.01999;2.45800;2910.0;3624.0;3624.0;0/ 0;0.0;0.0;1/ 1;0.0;-100.0;Closed;Closed;YES;0.00348;0.05997;TL;FOZ60--PR500 - GU-FZ2-P 
69;IV-IT1CAP765;72    # 01;ITABER-SP765;201;0;0.00064;0.01530;7.60000;4133.0;4174.0;4133.0;1/ 1;0.0;-330.0;1/ 1;0.0;-330.0;Closed;Closed;YES;0.00192;0.04590;TL;IV-IT1CAP765 - ITABER-S 
72;ITABER-SP765;70    # 02;IV-IT2CAP765;201;0;0.00063;0.01530;7.55700;4133.0;4174.0;3684.0;1/ 1;0.0;-330.0;1/ 1;0.0;-330.0;Closed;Closed;YES;0.00189;0.04590;TL;ITABER-SP765 - IV-IT2CA 
72;ITABER-SP765;71    # 03;IV-IT3CAP765;201;0;0.00064;0.01540;7.60000;4133.0;4174.0;3684.0;1/ 1;0.0;-330.0;1/ 1;0.0;-330.0;Closed;Closed;YES;0.00192;0.04620;TL;ITABER-SP765 - IV-IT3CA 
73;IT-TP1CAP765;76    # 01;TPRETO-SP765;201;0;0.00072;0.01750;8.77500;4133.0;4174.0;4133.0;0/ 0;0.0;0.0;1/ 1;0.0;-330.0;Closed;Closed;YES;0.00216;0.05250;TL;IT-TP1CAP765 - TPRETO-S 
76;TPRETO-SP765;74    # 02;IT-TP2CAP765;201;0;0.00072;0.01750;8.73000;4133.0;4174.0;3684.0;1/ 1;0.0;-330.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00216;0.05250;TL;TPRETO-SP765 - IT-TP2CA 
76;TPRETO-SP765;75    # 03;IT-TP3CAP765;201;0;0.00078;0.01790;8.98200;4133.0;4174.0;3684.0;1/ 1;0.0;-330.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00234;0.05370;TL;TPRETO-SP765 - IT-TP3CA 
77;TPRETO-SP500;104    # 01;C.PAUL-SP500;202;0;0.00167;0.02540;2.16600;1855.0;2337.0;1855.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00501;0.07620;TL;TPRETO-SP500 - C.PAUL-S 
77;TPRETO-SP500;598    # 01;TAUBAT-SP500;202;0;0.00106;0.01441;1.33400;1855.0;2252.0;1855.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00318;0.04323;TL;TPRETO-SP500 - TAUBAT-S 
77;TPRETO-SP500;3383    # 01;LORENA-SP500;202;0;0.00114;0.01712;2.59620;2728.0;2728.0;2728.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00342;0.05136;TL;TPRETO-SP500 - LORENA-S 
78;TPRETO-SP345;449    # 01;ITAPET-SP345;204;0;0.00074;0.00645;0.11340;1184.0;1392.0;1392.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00223;0.01934;TL;TPRETO-SP345 - ITAPET-S 
78;TPRETO-SP345;449    # 02;ITAPET-SP345;204;0;0.00074;0.00645;0.11340;1184.0;1392.0;1392.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00223;0.01934;TL;TPRETO-SP345 - ITAPET-S 
78;TPRETO-SP345;464    # 03;LESTE--SP345;204;0;0.00109;0.00973;0.17073;912.0;1103.0;912.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00327;0.02919;TL;TPRETO-SP345 - LESTE--S 
78;TPRETO-SP345;471    # 01;BAIXAD-SP345;204;0;0.00092;0.00801;0.14080;1184.0;1392.0;1184.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00277;0.02404;TL;TPRETO-SP345 - BAIXAD-S 
78;TPRETO-SP345;471    # 02;BAIXAD-SP345;204;0;0.00092;0.00801;0.14080;1184.0;1392.0;1184.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00277;0.02404;TL;TPRETO-SP345 - BAIXAD-S 
78;TPRETO-SP345;474    # 01;SUL----SP345;204;0;0.00062;0.00858;0.19827;1280.0;1613.0;1280.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00186;0.02574;TL;TPRETO-SP345 - SUL----S 
78;TPRETO-SP345;41820    # 01;TPTBC1-SP345;204;0;0.00001;0.00001;0.00000;9999.0;9999.0;9999.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00001;0.00001;SWITCH;TPRETO-SP345 - TPTBC1-S 
78;TPRETO-SP345;41823    # 01;TPTBC4-SP345;204;0;0.00001;0.00001;0.00000;9999.0;9999.0;9999.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00001;0.00001;SWITCH;TPRETO-SP345 - TPTBC4-S 
82;TPRET2-SP345;420    # 01;D.RANG-SP345;204;0;0.00126;0.01199;0.25641;912.0;1103.0;912.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00378;0.03597;TL;TPRET2-SP345 - D.RANG-S 
82;TPRET2-SP345;449    # 03;ITAPET-SP345;204;0;0.00060;0.00630;0.12845;1350.0;1350.0;2533.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00180;0.01890;TL;TPRET2-SP345 - ITAPET-S 
82;TPRET2-SP345;449    # 04;ITAPET-SP345;204;0;0.00060;0.00630;0.12845;1350.0;1350.0;2533.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00180;0.01890;TL;TPRET2-SP345 - ITAPET-S 
82;TPRET2-SP345;464    # 01;LESTE--SP345;204;0;0.00107;0.00928;0.16080;912.0;1103.0;2533.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00320;0.02784;TL;TPRET2-SP345 - LESTE--S 
82;TPRET2-SP345;464    # 02;LESTE--SP345;204;0;0.00107;0.00928;0.16080;912.0;1103.0;2533.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00320;0.02784;TL;TPRET2-SP345 - LESTE--S 
82;TPRET2-SP345;41821    # 01;TPTBC2-SP345;204;0;0.00001;0.00001;0.00000;9999.0;9999.0;9999.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00001;0.00001;SWITCH;TPRET2-SP345 - TPTBC2-S 
