sep=;
From#;From Name;To# - Circ#;To Name;Area;Owner;Type;Resistance (pu);Reactance (pu);Normal Rat.(MVA);Overl. Rat.(MVA);Emerg. Rat.(MVA);Tap (pu);Phase Shift (deg);CBus;CBus Name;Tap or Phs Min;Tap or Phs Max;V or Flow Max;V or Flow Min;ShtF On;GSht From (MW);BSht From (Mvar);ShtT On;GSht To (MW);BSht To (Mvar);Brk From;Brk To;Monitored;Connection;R0;X0;Name
38;GRAJA2SIN001;179   #54;GR2T54-RJ000;251;0;Trafo;0.00000;0.03020;200.0;200.0;114.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.03020;GRAJA2SIN001 - GR2T54-R 
44;GRAJA1SIN001;110   #52;GR1T52-RJ000;251;0;Trafo;0.00000;0.03000;200.0;200.0;1524.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.03000;GRAJA1SIN001 - GR1T52-R 
50;TPRETOSIN001;81   #04;TPRET4-SP000;201;0;Trafo;0.00000;0.02498;500.0;500.0;380.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.02498;TPRETOSIN001 - TPRET4-S 
52;P.ACU--RJ345;44840   #01;ACU-T1-RJ000;252;0;Trafo;0.00000;0.08690;150.0;180.0;150.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.08690;P.ACU--RJ345 - ACU-T1-R 
52;P.ACU--RJ345;44842   #02;ACU-T2-RJ000;252;0;Trafo;0.00000;0.08690;150.0;180.0;150.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.08690;P.ACU--RJ345 - ACU-T2-R 
53;GNAIG-UTE000;52   #01;P.ACU--RJ345;252;0;Trafo;0.00000;0.02970;9999.0;9999.0;370.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.02970;GNAIG-UTE000 - P.ACU--R 
54;GNAIV-UTE000;52   #01;P.ACU--RJ345;252;0;Trafo;0.00000;0.02180;9999.0;9999.0;550.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.02180;GNAIV-UTE000 - P.ACU--R 
56;IVAIP3-PR069;59   #03;IVAIP3-PR000;201;0;Trafo;0.00000;0.03385;550.0;550.0;251.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.03385;IVAIP3-PR069 - IVAIP3-P 
57;IVAIP2-PR069;58   #02;IVAIP2-PR000;201;0;Trafo;0.00000;0.03606;550.0;550.0;73.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.03606;IVAIP2-PR069 - IVAIP2-P 
60;F.IGUA-PR765;43810   #02;F.IG-2-PR000;201;0;Trafo;0.00000;0.00806;1650.0;1815.0;1880.0;0.95240;0.00;;;0.952 pu;0.952 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00806;F.IGUA-PR765 - F.IG-2-P 
60;F.IGUA-PR765;43862   #01;F.IG-1-PR000;201;0;Trafo;0.00000;0.00743;1650.0;1815.0;1880.0;0.95240;0.00;;;0.952 pu;0.952 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00743;F.IGUA-PR765 - F.IG-1-P 
60;F.IGUA-PR765;43899   #03;F.IG-3-PR000;201;0;Trafo;0.00000;0.00740;1650.0;1815.0;1880.0;0.95240;0.00;;;0.952 pu;0.952 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00740;F.IGUA-PR765 - F.IG-3-P 
60;F.IGUA-PR765;43915   #04;F.IG-4-PR000;201;0;Trafo;0.00000;0.00746;1650.0;1815.0;1880.0;0.95240;0.00;;;0.952 pu;0.952 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00746;F.IGUA-PR765 - F.IG-4-P 
60;F.IGUA-PR765;43921   #05;F.IG-5-PR000;201;0;Trafo;0.00000;0.00731;1650.0;1980.0;2309.0;0.95240;0.00;;;0.952 pu;0.952 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00731;F.IGUA-PR765 - F.IG-5-P 
61;FOZ60--PR500;43810   #02;F.IG-2-PR000;101;0;Trafo;0.00000;-0.00164;9999.0;9999.0;9999.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00164;FOZ60--PR500 - F.IG-2-P 
61;FOZ60--PR500;43862   #01;F.IG-1-PR000;101;0;Trafo;0.00000;-0.00121;9999.0;9999.0;9999.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00121;FOZ60--PR500 - F.IG-1-P 
61;FOZ60--PR500;43899   #03;F.IG-3-PR000;101;0;Trafo;0.00000;-0.00117;9999.0;9999.0;9999.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00117;FOZ60--PR500 - F.IG-3-P 
61;FOZ60--PR500;43915   #04;F.IG-4-PR000;101;0;Trafo;0.00000;-0.00123;9999.0;9999.0;9999.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00123;FOZ60--PR500 - F.IG-4-P 
61;FOZ60--PR500;43921   #05;F.IG-5-PR000;101;0;Trafo;0.00000;-0.00114;9999.0;9999.0;9999.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00114;FOZ60--PR500 - F.IG-5-P 
65;IVAIPO-PR765;58   #02;IVAIP2-PR000;201;0;Trafo;0.00000;0.00823;1650.0;1650.0;115.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00823;IVAIPO-PR765 - IVAIP2-P 
65;IVAIPO-PR765;59   #03;IVAIP3-PR000;201;0;Trafo;0.00000;0.00773;1650.0;1833.0;2598.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00773;IVAIPO-PR765 - IVAIP3-P 
