 sep=;
Ctg ID; Bus; Bus Name; Area; Zone; VBase (kV); V BC (pu); V Ctg (pu); VSupE (pu); Diff BC V (pu); Viol (pu); 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; 0.000; 0.083; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; 0.000; 0.079; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
