 sep=;
Ctg ID; Bus; Bus Name; Area; Zone; VBase (kV); V BC (pu); V Ctg (pu); VInfE (pu); Diff BC V (pu); Viol (pu); 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.001; -0.054; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.001; -0.055; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.000; -0.054; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.006; 0.950; 0.001; -0.056; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.011; 0.950; 0.000; -0.061; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.003; 0.950; -0.001; -0.053; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; 0.000; -0.060; 
