 sep=;
Ctg ID; From Bus; From Name; To Bus - ID; To Name; Flow Change (MVA); Flow Change (%); Flow BCase (MVA); Flow Ctg (MVA); Rating (MVA); 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5571; S.J.PI-PI230; 44084    #02; SJPIT2-PI000; -58.6; -100.0; 58.6; 0.0; 360.0; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5571; S.J.PI-PI230; 42344    #01; SJPIT1-PI000; 45.5; 77.6; 58.6; 104.1; 300.0; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5570; S.J.PI-PI500; 42344    #01; SJPIT1-PI000; 45.3; 77.4; 58.5; 103.8; 300.0; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5671; PICOS--PI230; 6631    #01; CHAPA2-PI230; -4.0; -4.9; 81.6; 77.6; 409.0; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5571; S.J.PI-PI230; 5671    #01; PICOS--PI230; 3.3; 10.3; 32.2; 35.5; 251.0; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5577; SJ-SB2CAP500; 6300    #02; SOBRAD-BA500; -2.3; -0.5; 496.1; 493.8; 1992.0; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5681; E.MART-PI230; 9526    #03; EMART-CER006; 2.2; 67.5; 3.2; 5.4; 40.0; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 7181; B.JESU-PI230; 5681    #03; E.MART-PI230; 2.2; 7.5; 28.8; 30.9; 327.0; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5303; CHAPA1-PI230; 6631    #01; CHAPA2-PI230; -2.0; -15.4; 13.2; 11.2; 409.0; 
S.J.PI-PI500(5570) SJPIT2-PI000(44084) #2; 5570; S.J.PI-PI500; 5577    #02; SJ-SB2CAP500; -1.7; -0.3; 480.2; 478.5; 1992.0; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5570; S.J.PI-PI500; 5577    #02; SJ-SB2CAP500; 27.4; 5.7; 480.2; 507.6; 1992.0; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5577; SJ-SB2CAP500; 6300    #02; SOBRAD-BA500; 24.6; 5.0; 496.1; 520.7; 1992.0; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5570; S.J.PI-PI500; 43952    #05; SJ-SB1-PI500; 21.4; 4.8; 448.6; 470.0; 2046.0; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 43952; SJ-SB1-PI500; 5572    #05; SJ-SB1CAP500; 21.4; 4.8; 448.6; 470.0; 2046.0; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5572; SJ-SB1CAP500; 6300    #05; SOBRAD-BA500; 20.4; 4.7; 430.1; 450.4; 2165.0; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 6640; CURRAL-PI500; 5325    #01; QUEIMA-PI500; -16.3; -5.3; 310.0; 293.7; 3464.0; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5570; S.J.PI-PI500; 7190    #05; GILBU2-PI500; -12.8; -3.7; 342.8; 330.0; 3600.0; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 5380; MLG2---CE500; 7922    #01; S.SURU-PE500; 9.0; 1.4; 655.4; 664.4; 2186.0; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; -8.3; -0.7; 1136.8; 1128.5; 2922.0; 
GENDO2-BA500(6060) OUROLN-BA500(6070) #1; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; -8.0; -0.7; 1114.4; 1106.4; 3464.0; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 8367; SGT2-1-PI000; 8436    #02; SGT2-2-PI000; 63.3; 100.0; 63.2; 126.5; 9999.0; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 8437; SGT2-3-PI000; 8438    #02; SGT2-4-PI000; -63.2; -100.0; 63.2; 0.0; 9999.0; 
SGT2-1-PI000(8367) SGT2-4-PI000(8438) #2; 8436; SGT2-2-PI000; 8437    #02; SGT2-3-PI000; 57.6; 2077.4; 2.8; 60.4; 9999.0; 
