 sep=;
From#; From Name; To# - Circ#; To Name; Area; Type; MVA; % L1; L1(MVA); MW:From-To; Mvar:From-To; Power Factor:From-To; MW:To-From; Mvar:To-From; Power Factor:To-From; MW:Losses; Mvar:Losses; 
5037; LBARRO-PI230; 5038    # 01; LBARR1-PI034; 772; TRAFO; 34.6; 28.84; 120.0; -32.2; 12.6; -; 32.2; -11.2; 0.944 Ind; 0.0; 1.4; 
5037; LBARRO-PI230; 5039    # 02; LBARR2-PI034; 772; TRAFO; 28.5; 23.79; 120.0; -26.0; 11.9; -; 26.0; -10.9; 0.922 Ind; 0.0; 0.9; 
5037; LBARRO-PI230; 44902    # 03; LBARR3-PI034; 772; OLTC; 45.4; 50.45; 90.0; -24.6; -35.1; -; 24.6; 38.1; 0.543 Cap; 0.1; 3.1; 
5038; LBARR1-PI034; 5322    # 01; LBARR1EOL036; 772; TL; 34.1; 0.34; 9999.0; -32.2; 11.2; -; 32.4; -10.7; 0.950 Ind; 0.2; 0.6; 
5039; LBARR2-PI034; 5040    # 01; LBARR2EOL029; 772; TL; 27.5; 0.27; 9999.0; -26.0; 8.9; -; 26.1; -8.6; 0.950 Ind; 0.1; 0.4; 
5096; RGOAT2-PI000; 5097    # 02; RGOAT2-PI013; 771; TRAFO; 0.0; 0.00; 75.0; 0.0; 0.0; -; 0.0; 0.0; -; 0.0; 0.0; 
5096; RGOAT2-PI000; 5430    # 02; RGONCA-PI230; 771; TRAFO; 26.5; 8.85; 300.0; -26.5; -1.0; -; 26.5; 1.0; 0.999 Cap; 0.0; -0.0; 
5176; TIANGD-CE500; 5318    # 01; ACARAT-CE500; 761; TL; 60.9; 2.34; 2598.0; -26.2; -50.9; -; 26.3; -54.9; 0.432 Ind; 0.1; -105.8; 
5176; TIANGD-CE500; 5480    # 05; SOBRA3-CE500; 761; TL; 156.7; 7.38; 2123.0; 6.5; -18.9; 0.325 Ind; -6.5; -156.6; -; 0.0; -175.5; 
5176; TIANGD-CE500; 5480    # 08; SOBRA3-CE500; 761; TL; 162.0; 7.63; 2123.0; 6.1; -27.4; 0.216 Ind; -6.0; -161.9; -; 0.0; -189.3; 
5176; TIANGD-CE500; 7959    # 01; TGD-T1-CE000; 761; OLTC; 14.7; 2.46; 600.0; -2.6; 14.5; -; 2.6; -14.4; 0.179 Ind; 0.0; 0.1; 
5176; TIANGD-CE500; 7960    # 02; TGD-T2-CE000; 761; OLTC; 14.7; 2.46; 600.0; -2.6; 14.5; -; 2.6; -14.4; 0.179 Ind; 0.0; 0.1; 
5303; CHAPA1-PI230; 5307    # 01; CHAPA1-PI034; 772; TRAFO; 38.0; 0.38; 9999.0; -35.9; 12.6; -; 35.9; -10.9; 0.957 Ind; 0.0; 1.6; 
5303; CHAPA1-PI230; 5530    # 01; CHAP1B-PI034; 772; TRAFO; 28.8; 0.29; 9999.0; -26.9; 10.4; -; 26.9; -9.5; 0.943 Ind; 0.0; 0.9; 
5303; CHAPA1-PI230; 6631    # 01; CHAPA2-PI230; 772; TL; 13.2; 4.20; 315.0; 12.7; -3.6; 0.962 Ind; -12.7; 1.4; -; 0.0; -2.2; 
5303; CHAPA1-PI230; 44586    # 03; CHAPT1-PI000; 772; OLTC; 31.5; 15.74; 200.0; 28.0; 14.3; 0.891 Cap; -28.0; -13.0; -; 0.0; 1.3; 
5303; CHAPA1-PI230; 44587    # 04; CHAPT2-PI000; 772; OLTC; 31.5; 15.74; 200.0; 28.0; 14.3; 0.891 Cap; -28.0; -13.0; -; 0.0; 1.3; 
5305; CHAPA3-PI230; 5309    # 01; CHAPA3-PI034; 772; TRAFO; 37.6; 0.38; 9999.0; -34.7; 14.5; -; 34.7; -12.9; 0.937 Ind; 0.0; 1.6; 
5305; CHAPA3-PI230; 5620    # 01; CHAP3B-PI034; 772; TRAFO; 37.6; 0.38; 9999.0; -34.4; 15.3; -; 34.4; -13.7; 0.929 Ind; 0.0; 1.6; 
5305; CHAPA3-PI230; 8319    # 01; CRATO2-CE230; 772; TL; 68.3; 8.71; 784.0; 66.1; -17.4; 0.967 Ind; -65.3; -3.6; -; 0.8; -20.9; 
5307; CHAPA1-PI034; 6630    # 01; CHAP1AEOL060; 772; TL; 37.5; 0.38; 9999.0; -35.9; 10.9; -; 36.0; -10.0; 0.964 Ind; 0.1; 0.9; 
5309; CHAPA3-PI034; 6638    # 01; AUGUSTEOL067; 772; TL; 37.0; 0.37; 9999.0; -34.7; 12.9; -; 34.8; -12.3; 0.943 Ind; 0.1; 0.6; 
5318; ACARAT-CE500; 5370    # 01; PECEM2-CE500; 761; TL; 174.2; 6.71; 2598.0; -4.2; 88.1; -; 4.4; -174.2; 0.025 Ind; 0.2; -86.1; 
5318; ACARAT-CE500; 8363    # 01; AUT-T1-CE000; 761; OLTC; 52.8; 7.04; 750.0; -29.1; 44.1; -; 29.1; -43.5; 0.556 Ind; 0.0; 0.6; 
5318; ACARAT-CE500; 8364    # 02; AUT-T2-CE000; 761; OLTC; 52.8; 7.04; 750.0; -29.1; 44.1; -; 29.1; -43.5; 0.556 Ind; 0.0; 0.6; 
5321; TRT----PI230; 5323    # 03; TRT----PI069; 772; OLTC; 71.6; 35.78; 200.0; 66.9; 25.4; 0.935 Cap; -66.8; -22.0; -; 0.0; 3.4; 
5321; TRT----PI230; 6651    # 01; TRT-T1-PI000; 772; OLTC; 71.4; 35.71; 200.0; 67.2; 24.2; 0.941 Cap; -67.2; -24.0; -; 0.0; 0.2; 
5321; TRT----PI230; 44007    # 02; TRT-T2-PI000; 772; OLTC; 71.5; 35.75; 200.0; 66.5; 26.3; 0.930 Cap; -66.5; -26.1; -; 0.0; 0.2; 
5323; TRT----PI069; 44007    # 02; TRT-T2-PI000; 773; TRAFO; 71.4; 35.71; 200.0; -66.5; -23.0; -; 66.5; 26.1; 0.931 Cap; 0.0; 3.1; 
5325; QUEIMA-PI500; 5699    # 01; LVENT3-PI500; 771; SWITCH; 123.4; 1.23; 9999.0; -118.4; 34.7; -; 118.4; -34.7; 0.960 Ind; 0.0; 0.0; 
5325; QUEIMA-PI500; 8338    # 01; OITIS--PI500; 771; SWITCH; 178.0; 1.78; 9999.0; -169.4; 54.7; -; 169.4; -54.7; 0.952 Ind; 0.0; 0.0; 
5327; CHAPA1-PI138; 8354    # 01; CHA1PE-PI138; 773; SWITCH; 55.7; 0.56; 9999.0; 50.2; 24.1; 0.901 Cap; -50.2; -24.1; -; 0.0; 0.0; 
5327; CHAPA1-PI138; 8355    # 01; CHA1PI-PI138; 773; SWITCH; 6.2; 0.06; 9999.0; 5.9; 1.9; 0.952 Cap; -5.9; -1.9; -; 0.0; 0.0; 
5370; PECEM2-CE500; 5451    # 02; FTZ2---CE500; 761; TL; 390.0; 15.24; 2560.0; 180.9; 232.3; 0.614 Cap; -180.3; -345.9; -; 0.6; -113.6; 
5370; PECEM2-CE500; 42326    # 01; PCD-T1-CE000; 761; TRAFO; 130.0; 10.83; 1200.0; -127.1; 27.3; -; 127.2; -22.9; 0.984 Ind; 0.1; 4.5; 
5370; PECEM2-CE500; 42328    # 02; PCD-T2-CE000; 761; TRAFO; 130.2; 10.85; 1200.0; -127.3; 27.4; -; 127.4; -23.0; 0.984 Ind; 0.1; 4.3; 
5370; PECEM2-CE500; 42330    # 03; PCD-T3-CE000; 761; TRAFO; 130.4; 10.87; 1200.0; -127.5; 27.4; -; 127.5; -23.0; 0.984 Ind; -0.0; 4.4; 
